Computational Biology Co-op ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/a22ebff7da26ae9178fa1d0c4f64c0a3,BioNTech US ,https://northeastern-csm.symplicity.com/students/app/employers/62897ac5f71c2e2d842f8ac49a7d29a4/overview
Computer vision engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/dbd75344d8d92c7a44a3bc107111282d,Phuc Labs,https://northeastern-csm.symplicity.com/students/app/employers/5631b67ee9918c2b7116fb5562a92c5d/overview
Machine Learning Internship (remote) ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ef8a5c97acbcffa58f7d527d8f1f9049,Auxi,https://northeastern-csm.symplicity.com/students/app/employers/9ea1bf59014dc0e2b022d9693acaf9d6/overview
"Co-op: Computational Biology, Therapeutics R&D Ideation",https://northeastern-csm.symplicity.com/students/app/jobs/detail/d1cac363b2b2476283bf98abb28055a9,Cellarity,https://northeastern-csm.symplicity.com/students/app/employers/5d48364b95bc4f6f378e153e9b8f0fc2/overview
Targeted Protein Degradation Data Science Co-Op ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/58402ca40a7c835bf82c7561eb55647d,UCB Biosciences,https://northeastern-csm.symplicity.com/students/app/employers/174b4e4032780150205c9326bb3cd83e/overview
"Intern - AI/DL Medical Image Analysis - Cambridge, MA ",https://northeastern-csm.symplicity.com/students/app/jobs/detail/9905ab86b54afbb7c87af2e33745c9e5?expired=1,Philips North America,https://northeastern-csm.symplicity.com/students/app/employers/0a8882f54e69b7bfa77e97106ca7ada4/overview
"Biotherapeutic Engineering Co-op, Takeda Pharmaceuticals",https://northeastern-csm.symplicity.com/students/app/jobs/detail/26bd12d510fbe8c1daa41392b3d5e1d6,Takeda Pharmaceutical Company Limited,https://northeastern-csm.symplicity.com/students/app/employers/5ace6921328f8a10c91e1076462aadaa/overview
Machine Learning and Computational Biology,https://northeastern-csm.symplicity.com/students/app/jobs/detail/fac85beb02760b6582fa4c5e71d0ee1c,Seismic Therapeutics,https://northeastern-csm.symplicity.com/students/app/employers/b0eaab7cdf8f07f6e0463c73078cb0a5/overview
Machine Intelligence Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/883b49f14ced6252523bfc0f91f1b31b,Draper,https://northeastern-csm.symplicity.com/students/app/employers/4c8003d660f735b4b246896c73f3b8da/overview
"Co-op, Data Analytics & Insights",https://northeastern-csm.symplicity.com/students/app/jobs/detail/ca403cd0d8355a423a8e28086ed03b34,Fidelity Investments,https://northeastern-csm.symplicity.com/students/app/employers/d04f2ff439c0a53d4189187712ce2a01/overview
Data Scientist Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f0467458efb587bd4c93320d883011ec,ASICS Digital ,https://northeastern-csm.symplicity.com/students/app/employers/d86375b92b0be9432e1a13c1cc91ff12/overview
"Research Data Analyst Student Intern, NEU - AD",https://northeastern-csm.symplicity.com/students/app/jobs/detail/80d6f3308e989c377916840a6bc23bc1,The Jackson Laboratory,https://northeastern-csm.symplicity.com/students/app/employers/5f69af4905cd364c1bde8efe59927433/overview
Internship: Data Driven Chemistry,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f06c889d63c20d3748e970a798e75130,Dassault Systemes Americas Corporation,https://northeastern-csm.symplicity.com/students/app/employers/a93998f800de61e49e07ab595fd5c6e8/overview
"Co-Op, Bioinformatics ",https://northeastern-csm.symplicity.com/students/app/jobs/detail/84942f12e3e9f43b8dcc31b5ee0d9f7a,Omega Therapeutics,https://northeastern-csm.symplicity.com/students/app/employers/57b256b1bdef830fd655fd4ad3bb2e2d/overview
Data Analytics Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/a5c5ba18194309c40ac49cf69cca6ff9,Cambridge Mobile Telematics,https://northeastern-csm.symplicity.com/students/app/employers/6620d515754043d90188e03bacf7d60c/overview
Bioinformatics Co-Op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6788b4f68aadff5e1ffcb362453c1346,Spectrus LLC,https://northeastern-csm.symplicity.com/students/app/employers/59fbb17304fae17e86ebdade754f2def/overview
BIOTECH CO-OP STUDENT: Machine Learning,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e85af79d46693c19d92a48b0931c5f46,Skyhawk Therapeutics,https://northeastern-csm.symplicity.com/students/app/employers/430f4b6f0905e4a856fd977bdf78ab2d/overview
Solaria Labs Data Science Co-op (July - December 2023),https://northeastern-csm.symplicity.com/students/app/jobs/detail/2b13d66466dc60a0fefb01f2fd0d9797,Liberty Mutual Insurance,https://northeastern-csm.symplicity.com/students/app/employers/8256725e03feb57970d9e38c3257e725/overview
Software Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/2f55ad319f6c7663aeda99d175c0b3c4,Phast Diagnostics,https://northeastern-csm.symplicity.com/students/app/employers/c39c5b6088fb66bfaaba7445d2e637be/overview
Technology Co-op - 2023 Fall JJT Co-op ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/a1f6c918fd4901893d06b7fb59c21cd1,Johnson & Johnson,https://northeastern-csm.symplicity.com/students/app/employers/f1d84e00830e850e1b33b979c3eb7628/overview
