Column1,Column2,Column3,Column4,,,,,,,,,,,,Application Engineer - 3D Printing,https://northeastern-csm.symplicity.com/students/app/jobs/detail/98c530c682752b7a6e3278a4a8e60430,DesktopMetal Inc.
Mechanical Engineering Co-op ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/1f07f720c66a9fb502fb52a0bcc97a03,"24m Technologies, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/0bd36c3fbf0f00aa4928f5cd8892382e/overview,,,,,,,,,,,,Engineering Co-op (Automotive) - Air & fluid moving products,https://northeastern-csm.symplicity.com/students/app/jobs/detail/6d5c9a81095f88c2d65ead5aec108baf,Robert Bosch LLC
Mechanical Engineering Co-op (Product Development),https://northeastern-csm.symplicity.com/students/app/jobs/detail/d26428e1e74964233f020329993fcb70,Acorn Product Development,https://northeastern-csm.symplicity.com/students/app/employers/ef8a57778a7c5a0f9e9799f2a726321d/overview,,,,,,,,,,,,Medical Device R&D Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/dd01699495c22c29e62e25d198ccc74f,Podimetrics
Automation Robotics Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/eee4ff7af6828c9402fd3dc6a2ca7921,Advent Technologies Inc.,https://northeastern-csm.symplicity.com/students/app/employers/ea5ebd521d9dbab76db5ef91aa574595/overview,,,,,,,,,,,,Robotic Test Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/edb551c813e741c402f17626d9193ede,"HighRes Biosolutions, Inc."
Bot Team Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9424716567a169fb1ede115509719e2c,Alert Innovation,https://northeastern-csm.symplicity.com/students/app/employers/6e478bef82067f26011c464bb98dbaa8/overview,,,,,,,,,,,,Co-Op - Mechanical Engineer,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3b2107d36e459677bb00046f1091598b,DesktopMetal Inc.
"Co-op, Additive Design Engineer",https://northeastern-csm.symplicity.com/students/app/jobs/detail/118445c50428c4114d779fd676761497,Alloy Enterprises Inc,https://northeastern-csm.symplicity.com/students/app/employers/105198b5923da46df2489a695d191e63/overview,,,,,,,,,,,,Materials Engineer ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/4d747f206bcb73a46619aede13687b61,DesktopMetal Inc.
"Co-op, Mechanical Engineer ",https://northeastern-csm.symplicity.com/students/app/jobs/detail/dbb28803e134c16ca6a27af60ba8a808,Alloy Enterprises Inc,https://northeastern-csm.symplicity.com/students/app/employers/105198b5923da46df2489a695d191e63/overview,,,,,,,,,,,,Medical Device Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/35acdf556bb542b536b460d14251a4f1,Paragonix Technologies
R&D Engineer Co-op Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/f333fa3131a4625d0b42540c3705734a,"Allurion Technologies, Inc.",https://northeastern-csm.symplicity.com/students/app/employers/5a83f980f808ea444ac4d7b502c9cb15/overview,,,,,,,,,,,,Amazon Robotics - Hardware Mechanical Lab Co-op - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/166b6eccd6a107f6f7d5f220eb13bc93,Amazon Robotics
Amazon Robotics - Hardware Mechanical Lab Co-op - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/166b6eccd6a107f6f7d5f220eb13bc93,Amazon Robotics,https://northeastern-csm.symplicity.com/students/app/employers/dc18b3e7a4b7b7657361097167c59235/overview,,,,,,,,,,,,Amazon Robotics - Hardware Test Engineer Co-op - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/75c79c2b9acd4044c370dda20929c0a1,Amazon Robotics
Amazon Robotics - Hardware Test Engineer Co-op - Fall 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/75c79c2b9acd4044c370dda20929c0a1,Amazon Robotics,https://northeastern-csm.symplicity.com/students/app/employers/dc18b3e7a4b7b7657361097167c59235/overview,,,,,,,,,,,,Flying Drones into Whales - Mechatronics Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/24b580e63724d218c33dd3e1ffd53b1f,The Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) 
Amazon Robotics - Hardware Co-op -  July to Dec 2023,https://northeastern-csm.symplicity.com/students/app/jobs/detail/e2f75f140e266d49c28ae30149b6a99b,Amazon Robotics,https://northeastern-csm.symplicity.com/students/app/employers/dc18b3e7a4b7b7657361097167c59235/overview,,,,,,,,,,,,Quality Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/4a6d8132ce74e456522517a56bb98654,Boston Scientific Corporation
Manufacturing Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9bf390df7d395c0a3dd736c4917c93b9,"Ametek Aerospace & Defense, Inc",https://northeastern-csm.symplicity.com/students/app/employers/b73ab90ecff0b78ef38bc4577350e3b5/overview,,,,,,,,,,,,Quality Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/93d342cf04784e8263a35774a21f661c,Draper
Mechanical Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/dc07c6c9311dc0d29094221cc7116484,Anduril Industries,https://northeastern-csm.symplicity.com/students/app/employers/dc6455115ddda34952a79e5953d8f174/overview,,,,,,,,,,,,R&D Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/c4cc91461b3b12fafe4a1d48c9176a6a,Boston Scientific Corporation
"Hardware, Hardware Products, Hardware Engineering Internship",https://northeastern-csm.symplicity.com/students/app/jobs/detail/80251574cf80b69a41e117c41b54ea88,Apple,https://northeastern-csm.symplicity.com/students/app/employers/7797756080547fcdcc68a9d0baa07e49/overview,,,,,,,,,,,,Systems Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/22592d74c41040d5005fb4614fc758d9,Boston Scientific Corporation
"Product Design, Mechanical Eng. & Materials Internship",https://northeastern-csm.symplicity.com/students/app/jobs/detail/08a70ea0706d11e6c9b92f41db68e59b,Apple,https://northeastern-csm.symplicity.com/students/app/employers/7797756080547fcdcc68a9d0baa07e49/overview,,,,,,,,,,,,Acoustic Control and Signal Processing Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/24cce723422a556988836aa1e5256473,Bose Corporation
Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/ef63754992172f80dae354c53141710c,Berkshire Grey,https://northeastern-csm.symplicity.com/students/app/employers/915570c6d0dd0aa5221cd6f723787e30/overview,,,,,,,,,,,,Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/24a9def5cb4e10038346005e238497a8,Fluent BioSciences Inc
Mechatronics Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/66ea4f817adc5ec15f1292520fd2b90d,Berkshire Grey,https://northeastern-csm.symplicity.com/students/app/employers/915570c6d0dd0aa5221cd6f723787e30/overview,,,,,,,,,,,,Mechanical Engineering Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/c9e5efe567fbec4b73360e93d7e0bace,Bose Corporation
Research Associate Co-op (Biomechanics),https://northeastern-csm.symplicity.com/students/app/jobs/detail/af99fe534a5990e85cbdcfe37cd73aa9,Beth Israel Deaconess Medical Center,https://northeastern-csm.symplicity.com/students/app/employers/cffb4a1acb4e78689e96deba5744c124/overview,,,,,,,,,,,,"Co-op, Protein Sciences",https://northeastern-csm.symplicity.com/students/app/jobs/detail/821b8caa2bd80c32880902ebc76a6eb0,Tessera Therapeutics
Underwater Mobile Robotics Co-op @ Bluetech Robotics ,https://northeastern-csm.symplicity.com/students/app/jobs/detail/2609f4fa859f88c5e2df2a7eb33e3bee,Bluetech Robotics,https://northeastern-csm.symplicity.com/students/app/employers/6d7d434cb0b60d9fa51660a00580179d/overview,,,,,,,,,,,,Manufacturing Engineer Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/9bf390df7d395c0a3dd736c4917c93b9,"Ametek Aerospace & Defense, Inc"
Acoustic Control and Signal Processing Co-op,https://northeastern-csm.symplicity.com/students/app/jobs/detail/24cce723422a556988836aa1e5256473,Bose Corporation,https://northeastern-csm.symplicity.com/students/app/employers/1c60a7c949862c378eca2ac91c8b1a45/overview,,,,,,,,,,,,Mechanical Engineering Intern,https://northeastern-csm.symplicity.com/students/app/jobs/detail/3b30f3d562dc6f2d05f9dd3e603c8937,Formlabs Inc.
